Hostname,Rule ID,Severity,Result
wrkr324,xccdf_org.ssgproject.content_rule_nftables_rules_permanent,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_set_nftables_base_chain,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_set_nftables_loopback_traffic,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_set_nftables_table,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_package_ufw_installed,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_package_ufw_removed,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_service_ufw_enabled,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_check_ufw_active,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_set_ufw_default_rule,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_set_ufw_loopback_traffic,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_ufw_only_required_services,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_ufw_rate_limit,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_ufw_rules_for_open_ports,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_kernel_module_dccp_disabled,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_kernel_module_rds_disabled,low,notselected
wrkr324,xccdf_org.ssgproject.content_rule_kernel_module_sctp_disabled,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_kernel_module_tipc_disabled,low,notselected
wrkr324,xccdf_org.ssgproject.content_rule_service_bluetooth_disabled,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_wireless_disable_interfaces,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_only_allow_dod_certs,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_dir_perms_world_writable_sticky_bits,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_unauthorized_world_writable,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_ungroupowned,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_var_log_stig,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_no_files_unowned_by_user,medium,notchecked
wrkr324,xccdf_org.ssgproject.content_rule_permissions_local_var_log,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_backup_etc_group,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_backup_etc_gshadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_backup_etc_passwd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_backup_etc_shadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_etc_group,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_etc_gshadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_etc_passwd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_etc_security_opasswd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_etc_security_opasswd_old,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_etc_shadow,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_etc_shells,medium,pass
